code,freeflow_min
E01007317,34.4
E01007318,33.1
E01007319,34.3
E01007320,32.7
E01007321,33.8
E01007322,32.4
E01007323,31.3
E01007324,29.6
E01007325,30.5
E01007326,31.3
E01007327,31.4
E01007328,40.4
E01007329,35.2
E01007330,37.9
E01007331,35.8
E01007332,38.4
E01007333,39.9
E01007334,32.2
E01007335,32.3
E01007336,30.5
E01007337,32.0
E01007338,31.7
E01007339,31.1
E01007340,30.9
E01007341,37.5
E01007342,36.1
E01007343,36.0
E01007344,34.2
E01007345,35.7
E01007346,34.7
E01007347,36.6
E01007354,40.8
E01007355,27.3
E01007356,27.9
E01007357,27.7
E01007358,25.7
E01007359,25.2
E01007360,25.3
E01007361,27.5
E01007362,28.4
E01007363,29.1
E01007379,27.9
E01007380,27.6
E01007381,28.1
E01007382,27.7
E01007383,30.2
E01007384,29.1
E01007385,30.8
E01007386,25.6
E01007387,28.2
E01007400,31.7
E01007402,35.0
E01007403,34.4
E01007404,34.8
E01007405,34.0
E01007406,34.1
E01007408,29.2
E01007409,29.7
E01007410,31.5
E01007411,29.8
E01007413,31.8
E01007414,31.3
E01007415,30.2
E01007416,34.8
E01007417,31.0
E01007418,27.8
E01007419,31.5
E01007420,31.3
E01007425,35.4
E01007433,33.1
E01007434,32.3
E01007435,31.7
E01007436,32.0
E01007437,32.2
E01007438,30.4
E01007439,30.4
E01007440,31.8
E01007441,29.9
E01007442,28.7
E01007443,30.6
E01007444,29.5
E01007445,30.9
E01007446,29.4
E01007459,34.1
E01007460,33.0
E01007461,33.2
E01007462,35.1
E01010568,32.7
E01010569,34.0
E01010570,37.3
E01010571,32.7
E01010572,33.6
E01010573,36.0
E01010574,33.7
E01010575,34.8
E01010576,31.0
E01010577,35.2
E01010578,39.8
E01010579,40.6
E01010580,39.8
E01010581,38.7
E01010582,38.8
E01010583,36.2
E01010584,37.8
E01010585,38.0
E01010586,40.5
E01010587,36.7
E01010588,36.3
E01010589,38.8
E01010590,40.2
E01010591,37.3
E01010592,40.4
E01010593,37.3
E01010594,40.6
E01010595,39.6
E01010596,36.8
E01010597,27.5
E01010598,25.0
E01010599,26.1
E01010600,27.0
E01010601,24.2
E01010602,25.3
E01010603,27.1
E01010604,27.3
E01010605,26.1
E01010606,23.5
E01010607,23.1
E01010608,23.9
E01010609,22.8
E01010610,21.3
E01010611,22.3
E01010612,22.5
E01010613,23.5
E01010614,22.3
E01010615,22.0
E01010616,21.9
E01010617,25.0
E01010618,20.1
E01010619,20.2
E01010620,22.4
E01010621,22.1
E01010622,22.1
E01010623,20.9
E01010624,22.7
E01010625,21.4
E01010626,21.8
E01010627,19.5
E01010628,29.2
E01010629,30.3
E01010630,28.4
E01010631,32.1
E01010632,30.2
E01010633,27.6
E01010634,29.4
E01010635,27.6
E01010636,29.7
E01010637,28.5
E01010638,47.0
E01010639,47.3
E01010640,47.0
E01010641,48.3
E01010642,48.1
E01010643,47.8
E01010645,49.6
E01010646,43.3
E01010647,44.5
E01010648,44.5
E01010649,25.6
E01010650,26.5
E01010651,24.0
E01010652,24.7
E01010653,25.3
E01010654,24.4
E01010655,26.0
E01010656,25.5
E01010657,25.4
E01010658,25.8
E01010659,26.4
E01010662,26.4
E01010663,24.4
E01010664,26.4
E01010665,25.6
E01010666,23.6
E01010667,24.7
E01010668,25.2
E01010669,33.0
E01010670,30.0
E01010671,31.4
E01010672,35.6
E01010673,29.5
E01010674,31.7
E01010675,31.5
E01010676,28.8
E01010678,33.6
E01010679,27.8
E01010680,26.2
E01010681,27.4
E01010682,24.8
E01010683,25.4
E01010684,26.5
E01010685,25.7
E01010686,28.2
E01010687,29.3
E01010688,25.1
E01010689,23.6
E01010690,26.3
E01010691,35.9
E01010692,38.3
E01010693,40.1
E01010694,38.2
E01010695,36.8
E01010696,34.5
E01010697,38.4
E01010698,35.9
E01010699,35.6
E01010700,42.4
E01010701,43.2
E01010702,44.5
E01010703,42.3
E01010704,43.6
E01010705,43.7
E01010706,40.6
E01010707,43.4
E01010708,43.5
E01010709,42.9
E01010710,44.6
E01010711,45.1
E01010712,46.4
E01010713,45.0
E01010714,46.0
E01010715,48.1
E01010716,45.5
E01010717,46.9
E01010718,48.7
E01010719,45.5
E01010720,45.9
E01010721,47.1
E01010722,47.2
E01010723,44.9
E01010724,46.4
E01010725,46.3
E01010726,47.9
E01010727,45.1
E01010728,44.9
E01010729,46.0
E01010730,24.7
E01010731,24.6
E01010732,23.1
E01010733,23.7
E01010734,24.0
E01010735,23.8
E01010736,23.8
E01010737,22.8
E01010738,23.3
E01010739,23.2
E01010740,22.5
E01010741,22.3
E01010742,22.6
E01010743,22.6
E01010744,21.7
E01010745,21.8
E01010746,20.8
E01010747,20.3
E01010748,21.5
E01010749,22.6
E01010750,21.2
E01010751,22.7
E01010752,29.8
E01010753,31.9
E01010754,31.6
E01010755,27.1
E01010756,30.5
E01010758,33.3
E01010759,31.3
E01010760,32.7
E01010761,27.0
E01010762,25.9
E01010763,26.0
E01010764,38.2
E01010765,41.4
E01010766,39.1
E01010767,30.8
E01010768,30.8
E01010769,29.8
E01010770,32.4
E01010771,32.1
E01010772,30.2
E01010773,30.7
E01010774,32.2
E01010775,27.7
E01010776,29.3
E01010777,30.6
E01010778,28.9
E01010779,28.8
E01010781,29.4
E01010782,30.1
E01010783,28.4
E01010784,34.0
E01010785,32.9
E01010786,34.6
E01010787,32.8
E01010788,31.9
E01010789,31.0
E01010790,34.9
E01010791,30.2
E01010792,29.5
E01010793,28.9
E01010794,32.7
E01010795,34.5
E01010796,32.6
E01010797,35.1
E01010798,33.9
E01010799,31.9
E01010800,31.6
E01010801,30.5
E01010802,32.7
E01010803,28.2
E01010804,30.3
E01010805,30.0
E01010806,30.5
E01010807,29.6
E01010808,29.7
E01010809,29.5
E01010810,28.4
E01010811,29.4
E01010812,28.7
E01010813,28.6
E01010814,19.5
E01010815,22.3
E01010816,22.2
E01010817,21.9
E01010818,20.7
E01010819,21.8
E01010820,21.2
E01010821,22.6
E01010822,21.5
E01010824,28.0
E01010825,23.1
E01010826,22.9
E01010827,21.9
E01010828,23.3
E01010829,24.7
E01010830,25.2
E01010831,23.8
E01010832,22.9
E01010833,27.6
E01010834,25.7
E01010836,25.6
E01010837,26.2
E01010838,24.9
E01010839,24.9
E01010840,28.7
E01010841,27.7
E01010842,27.7
E01010843,28.3
E01010845,26.1
E01010846,25.5
E01010847,23.9
E01010848,23.5
E01010849,24.0
E01010850,26.3
E01010851,24.1
E01010852,22.5
E01010853,24.0
E01010854,44.2
E01010855,45.5
E01010856,44.1
E01010857,46.0
E01010858,43.5
E01010859,48.1
E01010860,48.6
E01010861,44.5
E01010862,48.0
E01010863,48.1
E01010864,25.1
E01010865,19.7
E01010866,20.4
E01010867,24.1
E01010868,21.8
E01010869,20.9
E01010870,19.5
E01010871,20.8
E01010872,19.7
E01010873,19.4
E01010874,25.1
E01010875,25.9
E01010876,24.0
E01010877,23.8
E01010878,22.9
E01010879,21.8
E01010880,24.6
E01010889,28.8
E01010890,27.7
E01010891,27.5
E01010892,28.3
E01010893,28.5
E01010894,27.9
E01010895,26.7
E01010896,30.6
E01010897,34.6
E01010898,29.6
E01010899,31.4
E01010900,31.0
E01010901,29.6
E01010902,31.0
E01010903,29.7
E01010904,26.0
E01010905,22.5
E01010906,21.9
E01010907,23.6
E01010908,21.2
E01010909,23.6
E01010910,23.1
E01010911,35.5
E01010912,35.6
E01010913,36.9
E01010914,34.3
E01010915,35.5
E01010916,34.0
E01010917,41.0
E01010920,42.2
E01010921,39.1
E01010922,37.1
E01010924,34.1
E01010925,36.3
E01010926,37.3
E01010927,34.4
E01010928,32.5
E01010929,31.0
E01010930,32.0
E01010931,28.0
E01010932,25.8
E01010933,26.9
E01010934,27.9
E01010935,27.1
E01010936,28.2
E01010937,26.8
E01010938,30.4
E01010939,31.9
E01010940,31.4
E01010941,32.4
E01010942,32.0
E01010943,31.3
E01010944,31.2
E01010945,24.7
E01010946,23.9
E01010947,24.5
E01010948,26.3
E01010949,22.9
E01010950,23.3
E01010951,24.3
E01010952,37.6
E01010953,34.6
E01010956,40.1
E01010957,40.5
E01010958,39.0
E01010959,38.0
E01010960,29.8
E01010961,31.0
E01010964,31.2
E01010965,29.9
E01010966,30.0
E01010967,29.1
E01010968,31.0
E01010969,31.5
E01010970,31.4
E01010971,32.5
E01010972,31.8
E01010973,31.1
E01010974,30.2
E01010975,32.0
E01010976,33.5
E01010977,32.5
E01010978,36.2
E01010979,35.5
E01010980,35.0
E01010981,33.8
E01010989,30.2
E01010990,28.2
E01010991,29.5
E01010992,31.5
E01010993,32.2
E01010995,29.7
E01010996,30.4
E01010997,35.4
E01010998,32.9
E01010999,34.0
E01011000,32.6
E01011001,31.5
E01011002,32.2
E01011003,31.2
E01011004,31.2
E01011005,30.4
E01011006,30.2
E01011007,30.7
E01011008,30.5
E01011009,33.3
E01011010,32.4
E01011011,33.4
E01011012,29.6
E01011013,16.9
E01011014,18.9
E01011015,20.5
E01011016,20.7
E01011017,21.4
E01011018,22.3
E01011019,21.4
E01011020,22.1
E01011021,19.8
E01011022,20.5
E01011023,20.6
E01011024,19.6
E01011025,22.2
E01011026,20.6
E01011027,16.9
E01011028,17.9
E01011029,18.7
E01011030,17.7
E01011031,17.8
E01011032,20.2
E01011033,20.0
E01011034,20.9
E01011035,21.1
E01011036,19.8
E01011037,20.6
E01011038,29.0
E01011039,28.4
E01011040,29.1
E01011041,28.1
E01011042,30.0
E01011043,29.3
E01011044,28.2
E01011045,28.7
E01011046,27.3
E01011047,28.6
E01011048,15.7
E01011049,15.5
E01011050,16.0
E01011051,18.0
E01011052,16.6
E01011053,15.3
E01011054,16.3
E01011055,18.3
E01011056,19.2
E01011057,19.0
E01011058,16.9
E01011059,14.7
E01011060,18.3
E01011061,17.8
E01011062,22.8
E01011063,19.1
E01011064,19.0
E01011065,19.2
E01011066,20.4
E01011067,21.2
E01011068,16.6
E01011069,19.1
E01011070,34.6
E01011071,37.1
E01011072,36.1
E01011073,36.6
E01011077,34.7
E01011078,36.3
E01011079,33.1
E01011080,32.2
E01011081,33.4
E01011082,31.2
E01011083,33.9
E01011084,34.3
E01011085,34.7
E01011086,37.7
E01011087,37.7
E01011088,38.8
E01011089,26.2
E01011090,27.1
E01011091,26.0
E01011092,27.3
E01011093,30.4
E01011094,28.7
E01011095,29.2
E01011096,29.3
E01011097,28.7
E01011098,29.3
E01011099,28.8
E01011100,23.7
E01011101,25.8
E01011102,26.0
E01011103,23.8
E01011104,25.0
E01011105,28.1
E01011106,27.1
E01011107,28.7
E01011108,24.3
E01011109,31.4
E01011110,28.1
E01011111,27.3
E01011112,27.6
E01011113,30.8
E01011114,30.0
E01011115,32.6
E01011116,31.4
E01011117,34.4
E01011118,33.9
E01011119,27.9
E01011120,35.5
E01011121,20.3
E01011122,19.9
E01011123,21.0
E01011124,21.2
E01011125,19.8
E01011126,18.7
E01011127,20.6
E01011128,22.4
E01011129,20.9
E01011130,23.0
E01011132,27.5
E01011133,28.1
E01011134,27.1
E01011136,21.9
E01011137,22.2
E01011138,23.6
E01011139,23.7
E01011140,24.0
E01011141,24.9
E01011142,25.6
E01011143,26.9
E01011144,26.1
E01011145,32.1
E01011146,32.6
E01011147,32.2
E01011148,31.5
E01011149,31.4
E01011150,31.0
E01011151,33.2
E01011152,33.3
E01011153,33.0
E01011154,33.5
E01011155,29.9
E01011156,21.2
E01011157,20.0
E01011158,21.8
E01011159,22.7
E01011160,22.4
E01011161,21.1
E01011162,22.0
E01011163,18.6
E01011164,18.8
E01011165,19.2
E01011166,18.9
E01011167,20.1
E01011169,39.4
E01011170,40.5
E01011173,40.6
E01011176,38.1
E01011179,45.0
E01011184,42.4
E01011185,41.3
E01011186,42.0
E01011187,41.7
E01011188,45.5
E01011189,41.8
E01011190,33.0
E01011191,32.8
E01011192,33.4
E01011193,28.8
E01011194,32.3
E01011195,35.3
E01011196,34.9
E01011197,35.5
E01011198,38.4
E01011199,36.4
E01011200,30.1
E01011201,27.0
E01011202,27.9
E01011203,27.4
E01011204,27.2
E01011205,29.2
E01011206,27.7
E01011207,28.8
E01011208,27.7
E01011210,25.4
E01011211,27.7
E01011212,24.9
E01011213,26.0
E01011214,25.3
E01011215,25.6
E01011216,22.3
E01011217,23.0
E01011218,24.3
E01011219,23.9
E01011220,25.2
E01011221,24.9
E01011222,35.6
E01011223,32.4
E01011224,32.7
E01011225,32.5
E01011226,33.8
E01011227,34.6
E01011228,36.0
E01011229,30.0
E01011230,33.0
E01011231,28.4
E01011232,29.4
E01011233,29.3
E01011234,29.5
E01011235,30.9
E01011236,29.0
E01011237,29.9
E01011238,28.2
E01011239,28.1
E01011240,28.5
E01011241,17.9
E01011242,18.8
E01011243,17.5
E01011244,18.4
E01011245,18.9
E01011246,20.1
E01011247,21.6
E01011248,20.8
E01011249,22.2
E01011250,19.6
E01011251,23.0
E01011252,29.3
E01011253,28.9
E01011254,27.2
E01011255,27.9
E01011256,28.0
E01011257,23.5
E01011258,24.3
E01011259,25.4
E01011260,26.6
E01011261,25.6
E01011262,26.4
E01011263,26.8
E01011264,23.9
E01011265,27.5
E01011266,29.7
E01011267,25.8
E01011268,25.2
E01011269,23.8
E01011270,28.9
E01011271,27.2
E01011272,25.0
E01011273,24.2
E01011274,23.3
E01011275,23.2
E01011276,23.3
E01011277,24.2
E01011278,21.6
E01011279,26.5
E01011280,28.4
E01011281,12.9
E01011282,13.8
E01011283,12.4
E01011284,9.9
E01011286,13.2
E01011287,15.0
E01011292,9.9
E01011293,9.9
E01011294,9.3
E01011295,13.8
E01011296,17.0
E01011297,17.0
E01011298,19.8
E01011299,22.5
E01011300,17.0
E01011301,17.4
E01011302,19.2
E01011303,19.9
E01011304,19.5
E01011305,19.8
E01011306,19.1
E01011307,20.8
E01011308,18.7
E01011309,19.1
E01011310,17.1
E01011311,15.3
E01011312,8.5
E01011313,9.3
E01011314,9.6
